,,,,,,
,URL,Método HTTP,Vista/Controlador,Descripción,Recursos,Consideraciones
1,/,GET,index.jsp (IndexSv),"Inicio: dashboard que cambia según el rol. Docente ve botón de nueva solicitud o tarjetas de sus solicitudes activas; Estadías ve las solicitudes activas recibidas. Solo muestra activas, las completadas van al histórico (RN-05)","bootstrap.css, layout.css, header.jsp, sidebar.jsp, contenido.jsp",Requiere sesión iniciada (RF-01); contenido filtrado por rol (RNF-08)
2,/Login.jsp,GET,Login.jsp,Página para iniciar sesión con correo y contraseña,"bootstrap.css, bootstrap-icons, auth.css, Logotipo-UTEZ.png",Muestra alerta si las credenciales o el correo son inválidos (parámetro error)
3,/login,POST,LoginServlet (pendiente),"Servlet que valida credenciales, crea la sesión según el rol (Docente/Estadías/Administrador) y bloquea la cuenta tras 5 intentos fallidos (RF-01, RN-04)",N/A,Contraseñas encriptadas en BD (RNF-01); sesión expira por inactividad
4,/logout,POST,LogoutServlet (pendiente),Servlet que cierra la sesión activa del usuario,N/A,Debe invalidar la sesión HTTP
5,/RecuperarContrasena.jsp,GET,RecuperarContrasena.jsp,Página para solicitar la recuperación de contraseña mediante correo,"bootstrap.css, bootstrap-icons, auth.css, Logotipo-UTEZ.png",Muestra alerta de "Correo inválido" o de confirmación de envío
6,/recuperar-contrasena,POST,RecuperarContrasenaServlet (pendiente),"Servlet que valida el correo y envía por SMTP un enlace temporal de recuperación (RF-02, RN-03)",N/A,El enlace expira en 24 hrs; requiere servidor SMTP configurado (riesgo alto)
7,/RestablecerContrasena.jsp,GET,RestablecerContrasenaServlet + jsp (pendiente),Página para capturar la nueva contraseña a partir del enlace temporal recibido por correo,"bootstrap.css, bootstrap-icons, auth.css",Valida que el token/enlace no haya expirado (24 hrs)
8,/SolicitudDocente.jsp,GET,SolicitudDocente.jsp,"Formulario FO-UTEZ-EST-08 para que el docente capture los datos de una nueva solicitud de visita académica (RF-03, HU-01)","form.css, card.css, layout.css, visitas-form.js","Los campos se envían por POST a VisitaServlet; un docente solo puede tener una solicitud activa a la vez (RN-01)"
9,/VisitaServlet,POST,VisitaServlet,"Servlet que recibe los datos del formulario, guarda la solicitud y genera automáticamente el PDF de solicitud listo para firmar",N/A,Requiere conexión a la base de datos (Oracle Cloud) vía VisitaDao
10,/DetalleSolicitud.jsp,GET,DetalleSolicitudServlet + jsp (pendiente),"Detalle de una solicitud: se desbloquea al cargar el FO-UTEZ-EST-08 firmado; muestra opciones distintas según el rol (docente/Estadías) pero siempre sobre la misma solicitud",form.css; card.css; layout.css,"Docente puede editar/eliminar la solicitud antes de que Estadías la revise (RF-11)"
11,/CargarSolicitudFirmada,POST,CargarSolicitudServlet (pendiente),"El docente sube el PDF firmado (máx. 10 MB) y la solicitud cambia a estado ""En revisión"" (RF-04, HU-02)",N/A,Validar tipo (PDF) y tamaño de archivo antes de guardar (RNF-07)
12,/RevisionSolicitudes.jsp,GET,RevisionSolicitudesServlet + jsp (pendiente),"Bandeja de Estadías con las solicitudes pendientes de revisión (RF-05, HU-03)","form.css, card.css, layout.css",Solo visible para el rol Estadías (RNF-08)
13,/RevisarSolicitud,POST,RevisarSolicitudServlet (pendiente),"Estadías aprueba o rechaza (con motivo) una solicitud; dispara notificación por correo al docente (RF-05, RF-06)",N/A,Requiere servidor SMTP; el correo debe incluir estado y archivos adjuntos
14,/CartaResponsiva,GET/POST,CartaResponsivaServlet (pendiente),"Genera automáticamente la carta responsiva y oficio de aceptación y permite al docente subirla firmada (RF-07)",N/A,La carga queda asociada a la solicitud correspondiente
15,/Reportes.jsp,GET,ReportesServlet + jsp (pendiente),"Reporte - inicio: docente ve tarjeta de reporte pendiente al completar una solicitud; Estadías ve los reportes pendientes de los docentes","form.css, card.css, layout.css",Reporte solo se habilita cuando la solicitud fue completada (RN-06)
16,/ReporteVisita.jsp,GET,ReporteVisitaServlet + jsp (pendiente),"Reporte - docente: formulario post-visita con comentarios y hasta 3 imágenes JPG/PNG (máx. 5 MB c/u); genera un documento que el docente debe subir firmado (RF-08, HU-05)","form.css, card.css, layout.css","Validar tipo y tamaño de imágenes antes de guardarlas (RNF-07)"
17,/RevisarReporte,POST,RevisarReporteServlet (pendiente),"Estadías aprueba o rechaza el reporte enviado por el docente; el docente recibe notificación (RF-12)",N/A,El estado del reporte cambia y dispara notificación por correo
18,/Historico.jsp,GET,HistoricoServlet + jsp (pendiente),"Histórico de solicitudes completadas, ordenadas de más reciente a más antigua, con botones para ver detalle de solicitud y de reporte (RF-09, HU-06)","form.css, card.css, layout.css",El contenido visible depende del rol (RNF-08)
19,/Usuarios.jsp,GET,UsuariosServlet + jsp (pendiente),"Panel de administración para crear, editar y desactivar usuarios y asignar roles (RF-10, HU-07)","form.css, card.css, layout.css",Solo accesible para el rol Administrador; los permisos se actualizan de inmediato
20,/UsuarioServlet,POST,UsuarioServlet (pendiente),Servlet que procesa alta/edición/baja de usuarios y su rol asignado,N/A,Requiere conexión a la base de datos (Oracle Cloud)
21,,,,,,
